model,layer,n_layers,layer_frac,roi,rsa_mean,rsa_sem,noise_ceiling,rsa_noise_corrected
wavlm,3,13,0.25,Primary,0.3284459834435012,0.01803541567705346,0.6685215050960995,0.4913020462913714
wavlm,4,13,0.3333333333333333,Primary,0.26552476001896774,0.018117399451070725,0.6685215050960995,0.39718207715815923
wavlm,5,13,0.4166666666666667,Primary,0.20997984479156034,0.021686895543743336,0.6685215050960995,0.3140958715477311
wavlm,6,13,0.5,Primary,0.20123726657903962,0.020858765310026044,0.6685215050960995,0.30101838915430534
wavlm,7,13,0.5833333333333334,Primary,0.19351533848751476,0.02069722099971396,0.6685215050960995,0.289467634193304
wavlm,8,13,0.6666666666666666,Primary,0.17702097562092925,0.02159409529549884,0.6685215050960995,0.26479473625232536
wavlm,9,13,0.75,Primary,0.16420668791983184,0.02254187836897757,0.6685215050960995,0.24562663529608855
wavlm,10,13,0.8333333333333334,Primary,0.17639155776739135,0.02080786619914417,0.6685215050960995,0.2638532289878022
wavlm,11,13,0.9166666666666666,Primary,0.2692197865542584,0.014543450408450054,0.6685215050960995,0.4027092389728857
wavlm,12,13,1.0,Primary,0.2377465913497675,0.01622865938009824,0.6685215050960995,0.3556304315380125
whisper,0,7,0.0,Primary,0.217104127815538,0.021597194482713196,0.6685215050960995,0.32475264619098443
whisper,1,7,0.16666666666666666,Primary,0.2635924251395266,0.018018178275214174,0.6685215050960995,0.3942916168443008
whisper,2,7,0.3333333333333333,Primary,0.2501726989100953,0.0218894608761579,0.6685215050960995,0.37421787781401755
whisper,3,7,0.5,Primary,0.15660905792478924,0.030294814745837128,0.6685215050960995,0.23426181017509196
whisper,4,7,0.6666666666666666,Primary,0.07375939681882887,0.034700580686898415,0.6685215050960995,0.11033212283608738
whisper,5,7,0.8333333333333334,Primary,0.08824307847925589,0.03425495890141016,0.6685215050960995,0.1319973670354419
whisper,6,7,1.0,Primary,0.06007007877412676,0.027892666517211916,0.6685215050960995,0.0898551180720682
ast,0,13,0.0,Lateral,0.0570181353508469,0.01669838388243949,0.7227342603937893,0.07889225469923063
ast,1,13,0.08333333333333333,Lateral,0.17483384096310028,0.016027842996902898,0.7227342603937893,0.24190612033230616
ast,2,13,0.16666666666666666,Lateral,0.21762742398719884,0.011884072321583571,0.7227342603937893,0.3011167948072951
ast,3,13,0.25,Lateral,0.23093569708770262,0.013702481887088043,0.7227342603937893,0.3195305795547521
ast,4,13,0.3333333333333333,Lateral,0.19564217470682446,0.013228395124185386,0.7227342603937893,0.27069724714617344
ast,5,13,0.4166666666666667,Lateral,0.2772361725230225,0.010077425593309371,0.7227342603937893,0.38359351108105416
ast,6,13,0.5,Lateral,0.24492446760660708,0.014643056157426794,0.7227342603937893,0.33888592395378825
ast,7,13,0.5833333333333334,Lateral,0.15400934292521012,0.015063879565373268,0.7227342603937893,0.21309262804463777
ast,8,13,0.6666666666666666,Lateral,0.14208708106722634,0.0161942759602955,0.7227342603937893,0.19659657616038392
ast,9,13,0.75,Lateral,0.16771749916009854,0.010328027631695026,0.7227342603937893,0.23205970486125274
ast,10,13,0.8333333333333334,Lateral,0.1565676916627239,0.01434878990624599,0.7227342603937893,0.21663244741907817
ast,11,13,0.9166666666666666,Lateral,0.11948880056452602,0.014180044679295654,0.7227342603937893,0.16532881739883384
ast,12,13,1.0,Lateral,0.1399573031421174,0.013518877323693944,0.7227342603937893,0.19364974211387212
hubert,0,25,0.0,Lateral,0.1304245199417105,0.023385500358343855,0.7227342603937893,0.1804598551487615
hubert,1,25,0.041666666666666664,Lateral,0.17112368595568672,0.020488938167272902,0.7227342603937893,0.23677262215637626
hubert,2,25,0.08333333333333333,Lateral,0.22900791424897438,0.02215176311365362,0.7227342603937893,0.3168632328626528
hubert,3,25,0.125,Lateral,0.29190127199182236,0.0226682186775057,0.7227342603937893,0.40388464749516223
hubert,4,25,0.16666666666666666,Lateral,0.34326366394586827,0.02332446797561362,0.7227342603937893,0.4749514209535846
hubert,5,25,0.20833333333333334,Lateral,0.36451275283798096,0.024329212649126335,0.7227342603937893,0.5043523917620459
hubert,6,25,0.25,Lateral,0.3803767377692319,0.02522511398957637,0.7227342603937893,0.5263023473689759
hubert,7,25,0.2916666666666667,Lateral,0.38696354893596313,0.024792510152321656,0.7227342603937893,0.5354160860246503
hubert,8,25,0.3333333333333333,Lateral,0.39780787788845745,0.02571122095660007,0.7227342603937893,0.5504206728372164
hubert,9,25,0.375,Lateral,0.4039183140591648,0.02661351879064853,0.7227342603937893,0.5588752826510337
hubert,10,25,0.4166666666666667,Lateral,0.4170856418920188,0.02820538635734936,0.7227342603937893,0.5770940506746772
hubert,11,25,0.4583333333333333,Lateral,0.4137820701180869,0.02949236877384493,0.7227342603937893,0.5725231150556408
hubert,12,25,0.5,Lateral,0.4065007542863423,0.029860930221077085,0.7227342603937893,0.5624484358398287
hubert,13,25,0.5416666666666666,Lateral,0.4195842884576372,0.03024789836520908,0.7227342603937893,0.5805512640690678
hubert,14,25,0.5833333333333334,Lateral,0.42681581940593116,0.02968746692308744,0.7227342603937893,0.5905570592064864
hubert,15,25,0.625,Lateral,0.42418923747327536,0.03023668716307997,0.7227342603937893,0.5869228300345848
hubert,16,25,0.6666666666666666,Lateral,0.41948818928466314,0.029948799254618165,0.7227342603937893,0.5804182979455003
hubert,17,25,0.7083333333333334,Lateral,0.42362343770342237,0.030312957246700235,0.7227342603937893,0.5861399699975572
hubert,18,25,0.75,Lateral,0.4214159068482023,0.030120637771168468,0.7227342603937893,0.583085554320601
hubert,19,25,0.7916666666666666,Lateral,0.420292397556006,0.03026483424914941,0.7227342603937893,0.5815310281914756
hubert,20,25,0.8333333333333334,Lateral,0.42034334836796095,0.029808260364604735,0.7227342603937893,0.5816015254886803
hubert,21,25,0.875,Lateral,0.43116572992844204,0.029537509088999964,0.7227342603937893,0.5965757451342031
hubert,22,25,0.9166666666666666,Lateral,0.4221416191806625,0.02908270907656238,0.7227342603937893,0.5840896748836207
hubert,23,25,0.9583333333333334,Lateral,0.4191461633477158,0.029808660466717523,0.7227342603937893,0.5799450590862257
hubert,24,25,1.0,Lateral,0.40005632304305355,0.027798225109117343,0.7227342603937893,0.553531698947105
wav2vec2,0,25,0.0,Lateral,0.20492199972153774,0.02475865097217202,0.7227342603937893,0.2835371324584556
wav2vec2,1,25,0.041666666666666664,Lateral,0.21950922834604142,0.02248242466526879,0.7227342603937893,0.3037205240919941
