category,n_stimuli,model,layer,n_layers,layer_pct,rsa_mean,rsa_sem,noise_ceiling
EnvSound,27,hubert,2,25,8.333333333333334,0.37809458596958595,0.02020243641929213,0.6860385586635586
EnvSound,27,hubert,3,25,12.5,0.39230497280497273,0.020217728148415066,0.6860385586635586
EnvSound,27,hubert,4,25,16.666666666666668,0.384349802974803,0.02013249877476338,0.6860385586635586
EnvSound,27,hubert,5,25,20.833333333333332,0.3723453213453213,0.019408990453908568,0.6860385586635586
EnvSound,27,hubert,6,25,25.0,0.36377905427905427,0.01843627997627115,0.6860385586635586
EnvSound,27,hubert,7,25,29.166666666666668,0.3698532856032856,0.018015871747062803,0.6860385586635586
EnvSound,27,hubert,8,25,33.333333333333336,0.3695055222555223,0.017375698775140443,0.6860385586635586
EnvSound,27,hubert,9,25,37.5,0.3569897324897325,0.01705427554282882,0.6860385586635586
EnvSound,27,hubert,10,25,41.666666666666664,0.3352177544677545,0.01671605618345051,0.6860385586635586
EnvSound,27,hubert,11,25,45.833333333333336,0.30885536685536674,0.01703979577102485,0.6860385586635586
EnvSound,27,hubert,12,25,50.0,0.28431379731379736,0.01729621173665803,0.6860385586635586
EnvSound,27,hubert,13,25,54.166666666666664,0.29410468697968695,0.01806896117411334,0.6860385586635586
EnvSound,27,hubert,14,25,58.333333333333336,0.2914050532800533,0.018193988743884434,0.6860385586635586
EnvSound,27,hubert,15,25,62.5,0.28365927128427126,0.018407243770571825,0.6860385586635586
EnvSound,27,hubert,16,25,66.66666666666667,0.2836947080697081,0.01873230893558645,0.6860385586635586
EnvSound,27,hubert,17,25,70.83333333333333,0.2938149766899767,0.019032567498544723,0.6860385586635586
EnvSound,27,hubert,18,25,75.0,0.30809790209790205,0.019110859954045142,0.6860385586635586
EnvSound,27,hubert,19,25,79.16666666666667,0.31962803862803857,0.019403984300298046,0.6860385586635586
EnvSound,27,hubert,20,25,83.33333333333333,0.31728416028416034,0.019861755282030505,0.6860385586635586
EnvSound,27,hubert,21,25,87.5,0.2980922688422689,0.020213458341692348,0.6860385586635586
EnvSound,27,hubert,22,25,91.66666666666667,0.27889829614829614,0.020906017036717895,0.6860385586635586
EnvSound,27,hubert,23,25,95.83333333333333,0.24876277888777887,0.02126026909894039,0.6860385586635586
EnvSound,27,hubert,24,25,100.0,0.18016788766788766,0.018220701131761233,0.6860385586635586
EnvSound,27,wavlm,0,13,0.0,0.30593759018759015,0.015815168991174307,0.6860385586635586
EnvSound,27,wavlm,1,13,8.333333333333334,0.38146520146520146,0.01686702866583232,0.6860385586635586
EnvSound,27,wavlm,2,13,16.666666666666668,0.3771220168720169,0.01676057723726279,0.6860385586635586
EnvSound,27,wavlm,3,13,25.0,0.3511294538794539,0.017386615894704104,0.6860385586635586
EnvSound,27,wavlm,4,13,33.333333333333336,0.3145000971250971,0.01472247400291835,0.6860385586635586
EnvSound,27,wavlm,5,13,41.666666666666664,0.3278697968697969,0.011969709382896713,0.6860385586635586
EnvSound,27,wavlm,6,13,50.0,0.31008667721167715,0.013062283437768813,0.6860385586635586
EnvSound,27,wavlm,7,13,58.333333333333336,0.2923049034299034,0.01240309784656352,0.6860385586635586
EnvSound,27,wavlm,8,13,66.66666666666667,0.26522519147519147,0.011411864135366455,0.6860385586635586
EnvSound,27,wavlm,9,13,75.0,0.25000818625818627,0.010895855852494312,0.6860385586635586
EnvSound,27,wavlm,10,13,83.33333333333333,0.2733407703407703,0.011242700056203037,0.6860385586635586
EnvSound,27,wavlm,11,13,91.66666666666667,0.2586328393828394,0.013016223197873864,0.6860385586635586
EnvSound,27,wavlm,12,13,100.0,0.2587538433788434,0.011960126696093486,0.6860385586635586
EnvSound,27,whisper,0,7,0.0,0.11057369019869019,0.015856972805334532,0.6860385586635586
EnvSound,27,whisper,1,7,16.666666666666668,0.16777862415362413,0.016761503644304333,0.6860385586635586
EnvSound,27,whisper,2,7,33.333333333333336,0.19304834054834055,0.014885610204563134,0.6860385586635586
EnvSound,27,whisper,3,7,50.0,0.27266951104451104,0.01719928042241514,0.6860385586635586
EnvSound,27,whisper,4,7,66.66666666666667,0.2507445332445333,0.014622688155318503,0.6860385586635586
EnvSound,27,whisper,5,7,83.33333333333333,0.2669342046842047,0.014612844094081876,0.6860385586635586
EnvSound,27,whisper,6,7,100.0,0.1304696692196692,0.012996855818925046,0.6860385586635586
